DATE,CSUSHPINSA
1/1/1992,75.697
2/1/1992,75.652
3/1/1992,75.812
4/1/1992,76.079
5/1/1992,76.398
6/1/1992,76.603
7/1/1992,76.713
8/1/1992,76.734
9/1/1992,76.632
10/1/1992,76.602
11/1/1992,76.584
12/1/1992,76.469
1/1/1993,76.4
2/1/1993,76.332
3/1/1993,76.387
4/1/1993,76.665
5/1/1993,77.034
6/1/1993,77.519
7/1/1993,77.888
8/1/1993,78.134
9/1/1993,78.203
10/1/1993,78.178
11/1/1993,78.178
12/1/1993,78.122
1/1/1994,78.206
2/1/1994,78.213
3/1/1994,78.358
4/1/1994,78.713
5/1/1994,79.221
6/1/1994,79.714
7/1/1994,80.075
8/1/1994,80.328
9/1/1994,80.349
10/1/1994,80.312
11/1/1994,80.177
12/1/1994,80.087
1/1/1995,80.038
2/1/1995,80.008
3/1/1995,80.097
4/1/1995,80.39
5/1/1995,80.712
6/1/1995,81.089
7/1/1995,81.431
8/1/1995,81.673
9/1/1995,81.759
10/1/1995,81.749
11/1/1995,81.654
12/1/1995,81.537
1/1/1996,81.451
2/1/1996,81.424
3/1/1996,81.69
4/1/1996,82.149
5/1/1996,82.626
6/1/1996,83.075
7/1/1996,83.447
8/1/1996,83.675
9/1/1996,83.732
10/1/1996,83.658
11/1/1996,83.585
12/1/1996,83.518
1/1/1997,83.557
2/1/1997,83.621
3/1/1997,83.937
4/1/1997,84.352
5/1/1997,84.899
6/1/1997,85.432
7/1/1997,85.875
8/1/1997,86.183
9/1/1997,86.343
10/1/1997,86.44
11/1/1997,86.664
12/1/1997,86.88
1/1/1998,87.196
2/1/1998,87.407
3/1/1998,87.91
4/1/1998,88.59
5/1/1998,89.406
6/1/1998,90.226
7/1/1998,90.891
8/1/1998,91.438
9/1/1998,91.783
10/1/1998,92.03
11/1/1998,92.227
12/1/1998,92.474
1/1/1999,92.744
2/1/1999,93.011
3/1/1999,93.642
4/1/1999,94.468
5/1/1999,95.394
6/1/1999,96.396
7/1/1999,97.224
8/1/1999,97.93
9/1/1999,98.434
10/1/1999,98.87
11/1/1999,99.189
12/1/1999,99.583
1/1/2000,100
2/1/2000,100.57
3/1/2000,101.465
4/1/2000,102.54
5/1/2000,103.702
6/1/2000,104.855
7/1/2000,105.721
8/1/2000,106.521
9/1/2000,107.135
10/1/2000,107.728
11/1/2000,108.291
12/1/2000,108.791
1/1/2001,109.215
2/1/2001,109.643
3/1/2001,110.394
4/1/2001,111.247
5/1/2001,112.202
6/1/2001,113.273
7/1/2001,114.23
8/1/2001,114.991
9/1/2001,115.467
10/1/2001,115.682
11/1/2001,115.839
12/1/2001,116.055
1/1/2002,116.437
2/1/2002,116.917
3/1/2002,117.931
4/1/2002,119.211
5/1/2002,120.79
6/1/2002,122.334
7/1/2002,123.687
8/1/2002,124.729
9/1/2002,125.492
10/1/2002,126.135
11/1/2002,126.64
12/1/2002,127.149
1/1/2003,127.652
2/1/2003,128.327
3/1/2003,129.31
4/1/2003,130.49
5/1/2003,131.841
6/1/2003,133.225
7/1/2003,134.645
8/1/2003,135.963
9/1/2003,137.076
10/1/2003,137.977
11/1/2003,138.768
12/1/2003,139.632
1/1/2004,140.711
2/1/2004,142.034
3/1/2004,144.085
4/1/2004,146.182
5/1/2004,148.335
6/1/2004,150.517
7/1/2004,152.336
8/1/2004,153.812
9/1/2004,155.108
10/1/2004,156.299
11/1/2004,157.498
12/1/2004,158.674
1/1/2005,160.136
2/1/2005,161.932
