DATE,NHSUSSPT
2002-01-01,66
2002-02-01,84
2002-03-01,90
2002-04-01,86
2002-05-01,88
2002-06-01,84
2002-07-01,82
2002-08-01,90
2002-09-01,82
2002-10-01,77
2002-11-01,73
2002-12-01,70
2003-01-01,76
2003-02-01,82
2003-03-01,98
2003-04-01,91
2003-05-01,101
2003-06-01,107
2003-07-01,99
2003-08-01,105
2003-09-01,90
2003-10-01,88
2003-11-01,76
2003-12-01,75
2004-01-01,89
2004-02-01,102
2004-03-01,123
2004-04-01,109
2004-05-01,115
2004-06-01,105
2004-07-01,96
2004-08-01,102
2004-09-01,94
2004-10-01,101
2004-11-01,84
2004-12-01,83
2005-01-01,92
2005-02-01,109
2005-03-01,127
2005-04-01,116
2005-05-01,120
2005-06-01,115
2005-07-01,117
2005-08-01,110
2005-09-01,99
2005-10-01,105
2005-11-01,86
2005-12-01,87
2006-01-01,89
2006-02-01,88
2006-03-01,108
2006-04-01,100
2006-05-01,102
2006-06-01,98
2006-07-01,83
2006-08-01,88
2006-09-01,80
2006-10-01,74
2006-11-01,71
2006-12-01,71
2007-01-01,66
2007-02-01,68
2007-03-01,80
2007-04-01,83
2007-05-01,79
2007-06-01,73
2007-07-01,68
2007-08-01,60
2007-09-01,53
2007-10-01,57
2007-11-01,45
2007-12-01,44
2008-01-01,44
2008-02-01,48
2008-03-01,49
2008-04-01,49
2008-05-01,49
2008-06-01,45
2008-07-01,43
2008-08-01,38
2008-09-01,35
2008-10-01,32
2008-11-01,27
2008-12-01,26
2009-01-01,24
2009-02-01,29
2009-03-01,31
2009-04-01,32
2009-05-01,34
2009-06-01,37
2009-07-01,38
2009-08-01,36
2009-09-01,30
2009-10-01,33
2009-11-01,26
2009-12-01,24
2010-01-01,24
2010-02-01,27
2010-03-01,36
2010-04-01,41
2010-05-01,26
2010-06-01,28
2010-07-01,26
2010-08-01,23
2010-09-01,25
2010-10-01,23
2010-11-01,20
2010-12-01,23
2011-01-01,21
2011-02-01,22
2011-03-01,28
2011-04-01,30
2011-05-01,28
2011-06-01,28
2011-07-01,27
2011-08-01,25
2011-09-01,24
2011-10-01,25
2011-11-01,23
2011-12-01,24
2012-01-01,23
2012-02-01,30
2012-03-01,34
2012-04-01,34
2012-05-01,35
2012-06-01,34
2012-07-01,33
2012-08-01,31
2012-09-01,30
2012-10-01,29
2012-11-01,28
2012-12-01,28
2013-01-01,32
2013-02-01,36
2013-03-01,41
2013-04-01,43
2013-05-01,40
2013-06-01,43
2013-07-01,33
2013-08-01,31
2013-09-01,31
2013-10-01,36
2013-11-01,32
2013-12-01,31
2014-01-01,33
2014-02-01,35
2014-03-01,39
2014-04-01,39
2014-05-01,43
2014-06-01,38
2014-07-01,35
2014-08-01,36
2014-09-01,37
2014-10-01,38
2014-11-01,31
2014-12-01,35
2015-01-01,39
2015-02-01,45
2015-03-01,46
2015-04-01,48
2015-05-01,47
2015-06-01,44
2015-07-01,43
2015-08-01,41
2015-09-01,35
2015-10-01,39
2015-11-01,36
2015-12-01,38
2016-01-01,39
2016-02-01,45
2016-03-01,50
2016-04-01,55
2016-05-01,53
2016-06-01,50
2016-07-01,54
2016-08-01,46
2016-09-01,44
2016-10-01,46
2016-11-01,40
2016-12-01,39
2017-01-01,45
2017-02-01,51
2017-03-01,61
2017-04-01,56
2017-05-01,57
2017-06-01,56
2017-07-01,48
2017-08-01,45
2017-09-01,50
2017-10-01,49
2017-11-01,50
2017-12-01,46
