DATE,NHSDPNS
1992-01-01,17
1992-02-01,20
1992-03-01,20
1992-04-01,17
1992-05-01,18
1992-06-01,17
1992-07-01,16
1992-08-01,18
1992-09-01,16
1992-10-01,16
1992-11-01,14
1992-12-01,15
1993-01-01,17
1993-02-01,19
1993-03-01,24
1993-04-01,25
1993-05-01,25
1993-06-01,19
1993-07-01,19
1993-08-01,22
1993-09-01,20
1993-10-01,19
1993-11-01,17
1993-12-01,16
1994-01-01,15
1994-02-01,24
1994-03-01,26
1994-04-01,23
1994-05-01,23
1994-06-01,20
1994-07-01,17
1994-08-01,18
1994-09-01,16
1994-10-01,17
1994-11-01,12
1994-12-01,11
1995-01-01,15
1995-02-01,17
1995-03-01,20
1995-04-01,20
1995-05-01,18
1995-06-01,20
1995-07-01,21
1995-08-01,19
1995-09-01,14
1995-10-01,16
1995-11-01,15
1995-12-01,13
1996-01-01,18
1996-02-01,26
1996-03-01,24
1996-04-01,22
1996-05-01,20
1996-06-01,20
1996-07-01,18
1996-08-01,20
1996-09-01,17
1996-10-01,15
1996-11-01,17
1996-12-01,17
1997-01-01,19
1997-02-01,23
1997-03-01,27
1997-04-01,26
1997-05-01,24
1997-06-01,22
1997-07-01,22
1997-08-01,25
1997-09-01,22
1997-10-01,20
1997-11-01,19
1997-12-01,19
1998-01-01,25
1998-02-01,30
1998-03-01,31
1998-04-01,31
1998-05-01,31
1998-06-01,31
1998-07-01,24
1998-08-01,25
1998-09-01,25
1998-10-01,23
1998-11-01,23
1998-12-01,21
1999-01-01,27
1999-02-01,31
1999-03-01,31
1999-04-01,34
1999-05-01,29
1999-06-01,30
1999-07-01,28
1999-08-01,27
1999-09-01,22
1999-10-01,19
1999-11-01,21
1999-12-01,19
2000-01-01,25
2000-02-01,28
2000-03-01,34
2000-04-01,28
2000-05-01,29
2000-06-01,25
2000-07-01,28
2000-08-01,26
2000-09-01,23
2000-10-01,26
2000-11-01,24
2000-12-01,23
2001-01-01,28
2001-02-01,37
2001-03-01,37
2001-04-01,34
2001-05-01,29
2001-06-01,29
2001-07-01,25
2001-08-01,25
2001-09-01,23
2001-10-01,20
2001-11-01,22
2001-12-01,23
2002-01-01,25
2002-02-01,31
2002-03-01,34
2002-04-01,35
2002-05-01,32
2002-06-01,29
2002-07-01,27
2002-08-01,33
2002-09-01,30
2002-10-01,28
2002-11-01,27
2002-12-01,26
2003-01-01,30
2003-02-01,30
2003-03-01,36
2003-04-01,35
2003-05-01,38
2003-06-01,42
2003-07-01,37
2003-08-01,41
2003-09-01,34
2003-10-01,34
2003-11-01,28
2003-12-01,29
2004-01-01,40
2004-02-01,42
2004-03-01,53
2004-04-01,49
2004-05-01,42
2004-06-01,42
2004-07-01,38
2004-08-01,35
