DATE,NHFSEPUC
1992-01-01,131
1992-02-01,129
1992-03-01,135
1992-04-01,134
1992-05-01,135
1992-06-01,136
1992-07-01,135
1992-08-01,136
1992-09-01,135
1992-10-01,134
1992-11-01,132
1992-12-01,135
1993-01-01,133
1993-02-01,130
1993-03-01,134
1993-04-01,140
1993-05-01,146
1993-06-01,150
1993-07-01,152
1993-08-01,161
1993-09-01,162
1993-10-01,164
1993-11-01,166
1993-12-01,167
1994-01-01,162
1994-02-01,160
1994-03-01,168
1994-04-01,169
1994-05-01,169
1994-06-01,180
1994-07-01,185
1994-08-01,188
1994-09-01,191
1994-10-01,186
1994-11-01,187
1994-12-01,189
1995-01-01,186
1995-02-01,185
1995-03-01,182
1995-04-01,184
1995-05-01,186
1995-06-01,186
1995-07-01,183
1995-08-01,187
1995-09-01,187
1995-10-01,194
1995-11-01,199
1995-12-01,199
1996-01-01,196
1996-02-01,192
1996-03-01,189
1996-04-01,195
1996-05-01,195
1996-06-01,193
1996-07-01,191
1996-08-01,192
1996-09-01,185
1996-10-01,186
1996-11-01,189
1996-12-01,185
1997-01-01,174
1997-02-01,165
1997-03-01,158
1997-04-01,165
1997-05-01,163
1997-06-01,163
1997-07-01,165
1997-08-01,163
1997-09-01,164
1997-10-01,163
1997-11-01,158
1997-12-01,161
1998-01-01,161
1998-02-01,157
1998-03-01,164
1998-04-01,168
1998-05-01,166
1998-06-01,173
1998-07-01,171
1998-08-01,172
1998-09-01,177
1998-10-01,181
1998-11-01,185
1998-12-01,185
1999-01-01,177
1999-02-01,177
1999-03-01,182
1999-04-01,177
1999-05-01,180
1999-06-01,175
1999-07-01,178
1999-08-01,183
1999-09-01,185
1999-10-01,191
1999-11-01,194
1999-12-01,195
2000-01-01,187
2000-02-01,182
2000-03-01,181
2000-04-01,181
2000-05-01,181
2000-06-01,186
2000-07-01,184
2000-08-01,180
2000-09-01,177
2000-10-01,180
2000-11-01,176
2000-12-01,171
2001-01-01,174
2001-02-01,170
2001-03-01,165
2001-04-01,174
2001-05-01,174
2001-06-01,182
2001-07-01,191
2001-08-01,188
2001-09-01,191
2001-10-01,195
2001-11-01,195
2001-12-01,191
2002-01-01,190
2002-02-01,187
2002-03-01,189
2002-04-01,191
2002-05-01,198
2002-06-01,202
2002-07-01,209
2002-08-01,203
2002-09-01,201
2002-10-01,208
2002-11-01,206
2002-12-01,208
2003-01-01,208
2003-02-01,199
2003-03-01,197
2003-04-01,204
2003-05-01,204
2003-06-01,211
2003-07-01,214
2003-08-01,213
2003-09-01,219
2003-10-01,227
2003-11-01,235
2003-12-01,236
2004-01-01,231
2004-02-01,225
2004-03-01,231
2004-04-01,235
2004-05-01,238
2004-06-01,237
2004-07-01,242
2004-08-01,251
2004-09-01,253
2004-10-01,256
2004-11-01,258
2004-12-01,260
2005-01-01,267
2005-02-01,266
2005-03-01,258
2005-04-01,260
2005-05-01,263
2005-06-01,271
2005-07-01,275
2005-08-01,287
2005-09-01,292
2005-10-01,298
2005-11-01,311
2005-12-01,307
2006-01-01,316
2006-02-01,321
2006-03-01,323
2006-04-01,327
2006-05-01,336
2006-06-01,329
2006-07-01,331
2006-08-01,324
2006-09-01,318
2006-10-01,306
2006-11-01,300
2006-12-01,285
2007-01-01,281
2007-02-01,277
2007-03-01,276
2007-04-01,281
2007-05-01,278
2007-06-01,281
2007-07-01,280
2007-08-01,270
2007-09-01,261
2007-10-01,253
2007-11-01,241
2007-12-01,228
2008-01-01,220
2008-02-01,214
2008-03-01,212
2008-04-01,213
2008-05-01,209
2008-06-01,201
2008-07-01,192
2008-08-01,186
2008-09-01,175
2008-10-01,166
2008-11-01,155
2008-12-01,139
2009-01-01,133
2009-02-01,127
2009-03-01,120
2009-04-01,118
2009-05-01,115
2009-06-01,116
2009-07-01,116
2009-08-01,113
2009-09-01,112
2009-10-01,107
2009-11-01,105
2009-12-01,101
2010-01-01,101
2010-02-01,103
2010-03-01,104
2010-04-01,101
2010-05-01,103
2010-06-01,102
2010-07-01,102
2010-08-01,97
2010-09-01,94
2010-10-01,90
2010-11-01,87
2010-12-01,81
2011-01-01,80
2011-02-01,78
2011-03-01,79
2011-04-01,79
2011-05-01,78
2011-06-01,81
2011-07-01,80
2011-08-01,78
2011-09-01,77
2011-10-01,77
2011-11-01,73
2011-12-01,68
2012-01-01,68
2012-02-01,67
2012-03-01,70
2012-04-01,72
2012-05-01,75
2012-06-01,79
2012-07-01,81
2012-08-01,81
2012-09-01,85
2012-10-01,86
2012-11-01,84
2012-12-01,83
2013-01-01,84
2013-02-01,85
2013-03-01,87
2013-04-01,94
2013-05-01,97
2013-06-01,98
2013-07-01,103
2013-08-01,106
2013-09-01,109
2013-10-01,108
2013-11-01,110
2013-12-01,111
2014-01-01,110
2014-02-01,109
2014-03-01,108
2014-04-01,112
2014-05-01,115
2014-06-01,119
2014-07-01,126
2014-08-01,127
2014-09-01,127
2014-10-01,123
2014-11-01,121
2014-12-01,118
2015-01-01,113
2015-02-01,107
2015-03-01,111
2015-04-01,118
2015-05-01,122
2015-06-01,129
2015-07-01,136
2015-08-01,138
2015-09-01,142
2015-10-01,135
2015-11-01,140
2015-12-01,138
2016-01-01,139
