DATE,HNFSEPUSSA
1992-01-01,281
1992-02-01,269
1992-03-01,279
1992-04-01,274
1992-05-01,273
1992-06-01,273
1992-07-01,271
1992-08-01,269
1992-09-01,265
1992-10-01,264
1992-11-01,262
1992-12-01,265
1993-01-01,266
1993-02-01,267
1993-03-01,270
1993-04-01,272
1993-05-01,275
1993-06-01,275
1993-07-01,278
1993-08-01,286
1993-09-01,287
1993-10-01,290
1993-11-01,293
1993-12-01,293
1994-01-01,294
1994-02-01,295
1994-03-01,298
1994-04-01,297
1994-05-01,302
1994-06-01,315
1994-07-01,319
1994-08-01,323
1994-09-01,331
1994-10-01,330
1994-11-01,333
1994-12-01,336
1995-01-01,341
1995-02-01,346
1995-03-01,346
1995-04-01,348
1995-05-01,349
1995-06-01,348
1995-07-01,344
1995-08-01,350
1995-09-01,353
1995-10-01,359
1995-11-01,366
1995-12-01,370
1996-01-01,369
1996-02-01,355
1996-03-01,368
1996-04-01,368
1996-05-01,361
1996-06-01,355
1996-07-01,350
1996-08-01,342
1996-09-01,330
1996-10-01,328
1996-11-01,330
1996-12-01,322
1997-01-01,308
1997-02-01,301
1997-03-01,288
1997-04-01,290
1997-05-01,287
1997-06-01,288
1997-07-01,289
1997-08-01,287
1997-09-01,284
1997-10-01,284
1997-11-01,281
1997-12-01,281
1998-01-01,282
1998-02-01,281
1998-03-01,284
1998-04-01,287
1998-05-01,287
1998-06-01,286
1998-07-01,285
1998-08-01,286
1998-09-01,289
1998-10-01,293
1998-11-01,292
1998-12-01,294
1999-01-01,284
1999-02-01,285
1999-03-01,289
1999-04-01,290
1999-05-01,295
1999-06-01,295
1999-07-01,297
1999-08-01,298
1999-09-01,301
1999-10-01,303
1999-11-01,305
1999-12-01,308
2000-01-01,311
2000-02-01,299
2000-03-01,313
2000-04-01,305
2000-05-01,305
2000-06-01,306
2000-07-01,303
2000-08-01,302
2000-09-01,300
2000-10-01,301
2000-11-01,305
2000-12-01,298
2001-01-01,296
2001-02-01,296
2001-03-01,292
2001-04-01,294
2001-05-01,295
2001-06-01,301
2001-07-01,305
2001-08-01,308
2001-09-01,310
2001-10-01,308
2001-11-01,308
2001-12-01,308
2002-01-01,310
2002-02-01,313
2002-03-01,316
2002-04-01,324
2002-05-01,327
2002-06-01,328
2002-07-01,333
2002-08-01,334
2002-09-01,333
2002-10-01,335
2002-11-01,338
2002-12-01,339
2003-01-01,341
2003-02-01,341
2003-03-01,338
2003-04-01,340
2003-05-01,343
2003-06-01,343
2003-07-01,342
2003-08-01,346
2003-09-01,350
2003-10-01,361
2003-11-01,366
2003-12-01,370
2004-01-01,374
2004-02-01,372
2004-03-01,381
2004-04-01,383
2004-05-01,383
2004-06-01,383
2004-07-01,400
2004-08-01,405
2004-09-01,410
2004-10-01,413
2004-11-01,418
2004-12-01,422
2005-01-01,441
2005-02-01,446
2005-03-01,445
2005-04-01,445
2005-05-01,450
2005-06-01,455
2005-07-01,464
2005-08-01,476
2005-09-01,487
2005-10-01,490
2005-11-01,502
2005-12-01,511
2006-01-01,523
2006-02-01,539
2006-03-01,552
2006-04-01,565
2006-05-01,565
2006-06-01,566
2006-07-01,572
2006-08-01,566
2006-09-01,559
2006-10-01,554
