DATE,DSPIC96
1/1/1992,6616.3
2/1/1992,6649.9
3/1/1992,6659.6
4/1/1992,6679.4
5/1/1992,6712.9
6/1/1992,6741.7
7/1/1992,6736.8
8/1/1992,6759.6
9/1/1992,6725.8
10/1/1992,6682.5
11/1/1992,6685.9
12/1/1992,6922.8
1/1/1993,6793.6
2/1/1993,6817.1
3/1/1993,6794.6
4/1/1993,6825.9
5/1/1993,6814.5
6/1/1993,6800.8
7/1/1993,6817.1
8/1/1993,6826.9
9/1/1993,6809.3
10/1/1993,6772.6
11/1/1993,6791.6
12/1/1993,7023.2
1/1/1994,6892.9
2/1/1994,6908.4
3/1/1994,6930.4
4/1/1994,6932.6
5/1/1994,7016.1
6/1/1994,7002.8
7/1/1994,7008.8
8/1/1994,7019.1
9/1/1994,7048.2
10/1/1994,7113.4
11/1/1994,7111.1
12/1/1994,7144.2
1/1/1995,7174.2
2/1/1995,7190.3
3/1/1995,7208.3
4/1/1995,7153.1
5/1/1995,7223.3
6/1/1995,7245.4
7/1/1995,7259.9
8/1/1995,7265.8
9/1/1995,7289.4
10/1/1995,7297.7
11/1/1995,7317.5
12/1/1995,7326.1
1/1/1996,7337.5
2/1/1996,7394.6
3/1/1996,7419.1
4/1/1996,7376.4
5/1/1996,7470.8
6/1/1996,7515.5
7/1/1996,7495.6
8/1/1996,7513.8
9/1/1996,7531.8
10/1/1996,7530.8
11/1/1996,7550.6
12/1/1996,7577.2
1/1/1997,7602.1
2/1/1997,7624.6
3/1/1997,7659.5
4/1/1997,7664.7
5/1/1997,7696.3
6/1/1997,7720.6
7/1/1997,7751.8
8/1/1997,7791.7
9/1/1997,7813
10/1/1997,7849.7
11/1/1997,7898.4
12/1/1997,7942.9
1/1/1998,8015
2/1/1998,8067
3/1/1998,8114
4/1/1998,8140.5
5/1/1998,8173.6
6/1/1998,8219.9
7/1/1998,8234.8
8/1/1998,8261.8
9/1/1998,8287.3
10/1/1998,8301.1
11/1/1998,8335
12/1/1998,8349.5
1/1/1999,8381.7
2/1/1999,8409
3/1/1999,8418.6
4/1/1999,8402.6
5/1/1999,8420.1
6/1/1999,8448.9
7/1/1999,8458.4
8/1/1999,8494.4
9/1/1999,8488.3
10/1/1999,8541.3
11/1/1999,8601.7
12/1/1999,8672.2
1/1/2000,8744.8
2/1/2000,8778.7
3/1/2000,8800.6
4/1/2000,8836.9
5/1/2000,8869.8
6/1/2000,8890.2
7/1/2000,8937.1
8/1/2000,8985.2
9/1/2000,8985.5
10/1/2000,9000
11/1/2000,8994
12/1/2000,9004.6
1/1/2001,9054.5
2/1/2001,9073
3/1/2001,9101.3
4/1/2001,9080.8
5/1/2001,9061.7
6/1/2001,9062.4
7/1/2001,9198.4
8/1/2001,9359
9/1/2001,9290.6
10/1/2001,9145.7
11/1/2001,9167.5
12/1/2001,9190.4
1/1/2002,9385.7
