DATE,TOTALSA
01/01/92,12.6
01/02/92,12.9
01/03/92,12.8
01/04/92,12.6
01/05/92,13.1
01/06/92,13.5
01/07/92,12.9
01/08/92,12.9
01/09/92,13.4
01/10/92,13.7
01/11/92,13.2
01/12/92,13.8
01/01/93,13.5
01/02/93,13
01/03/93,13.3
01/04/93,14.5
01/05/93,14.5
01/06/93,14.5
01/07/93,14.5
01/08/93,13.6
01/09/93,14
01/10/93,14.9
01/11/93,14.9
01/12/93,15
01/01/94,15.4
01/02/94,15.5
01/03/94,15.3
01/04/94,16
01/05/94,14.6
01/06/94,15.1
01/07/94,14.9
01/08/94,15.4
01/09/94,15.3
01/10/94,15.9
01/11/94,15.9
01/12/94,15.6
01/01/95,14.8
01/02/95,14.9
01/03/95,15.3
01/04/95,14.4
01/05/95,14.8
01/06/95,15.4
01/07/95,14.7
01/08/95,15.4
01/09/95,15.3
01/10/95,14.9
01/11/95,15.4
01/12/95,16.3
01/01/96,14.8
01/02/96,15.6
01/03/96,16
01/04/96,15.5
01/05/96,16
01/06/96,15.3
01/07/96,15.1
01/08/96,15.5
01/09/96,15.5
01/10/96,15.3
01/11/96,15.7
01/12/96,15.2
01/01/97,15.7
01/02/97,15.3
01/03/97,15.8
01/04/97,15.1
01/05/97,15.1
01/06/97,14.5
01/07/97,15.6
01/08/97,16.1
01/09/97,15.1
01/10/97,15.4
01/11/97,15.8
01/12/97,16.5
01/01/98,14.8
01/02/98,15.2
01/03/98,15.4
01/04/98,15.9
01/05/98,17.1
01/06/98,16.8
01/07/98,14.7
01/08/98,14.8
01/09/98,16.3
01/10/98,17.1
01/11/98,16.1
01/12/98,17.4
01/01/99,16.6
01/02/99,17.1
01/03/99,16.8
01/04/99,16.9
01/05/99,17.6
01/06/99,17.3
01/07/99,17.7
01/08/99,17.6
01/09/99,17.7
01/10/99,17.7
01/11/99,17.6
01/12/99,18.3
01/01/00,18.6
01/02/00,19.4
01/03/00,18.3
01/04/00,17.9
01/05/00,17.9
01/06/00,17.6
01/07/00,17.3
01/08/00,17.5
01/09/00,18.7
01/10/00,17.5
01/11/00,16.6
01/12/00,16.2
01/01/01,17.7
01/02/01,17.8
01/03/01,17.2
01/04/01,16.9
01/05/01,16.9
01/06/01,17.5
01/07/01,16.5
01/08/01,16.3
01/09/01,16.4
01/10/01,22.1
01/11/01,18
01/12/01,16.5
01/01/02,16.5
01/02/02,17.3
01/03/02,17.1
01/04/02,17.7
01/05/02,16.2
01/06/02,16.9
01/07/02,18.2
01/08/02,18.4
01/09/02,16.7
01/10/02,16.3
01/11/02,16.5
01/12/02,17.9
01/01/03,16.7
01/02/03,16.1
01/03/03,16.5
01/04/03,16.7
01/05/03,16.5
01/06/03,17
01/07/03,17.1
01/08/03,18.3
01/09/03,17.3
01/10/03,16.5
01/11/03,17.6
01/12/03,17.4
01/01/04,16.7
01/02/04,17
01/03/04,17.2
01/04/04,16.9
01/05/04,18.2
01/06/04,16.2
01/07/04,17.3
01/08/04,17.2
01/09/04,17.9
01/10/04,17.5
01/11/04,17.4
01/12/04,18.1
01/01/05,16.9
01/02/05,16.9
01/03/05,17.4
01/04/05,17.8
01/05/05,17.4
01/06/05,18.5
01/07/05,21.1
01/08/05,17.4
01/09/05,16.9
01/10/05,15.3
01/11/05,16.5
01/12/05,17.2
01/01/06,18.1
01/02/06,17.1
01/03/06,17
01/04/06,17.1
01/05/06,16.7
01/06/06,16.9
01/07/06,17.7
01/08/06,16.5
01/09/06,17
01/10/06,16.9
01/11/06,16.7
01/12/06,17.1
01/01/07,16.9
01/02/07,17.2
01/03/07,16.4
01/04/07,16.6
01/05/07,16.7
01/06/07,16.2
01/07/07,15.8
01/08/07,16.4
01/09/07,16.5
01/10/07,16.5
01/11/07,16.4
01/12/07,16
01/01/08,15.7
01/02/08,15.5
01/03/08,15.1
01/04/08,14.6
01/05/08,14.7
01/06/08,14.4
01/07/08,13
01/08/08,14.1
01/09/08,13
01/10/08,10.9
01/11/08,10.5
01/12/08,10.4
01/01/09,9.8
01/02/09,9.2
01/03/09,9.8
01/04/09,9.4
01/05/09,10.2
01/06/09,10.1
01/07/09,11.6
01/08/09,14.8
01/09/09,9.5
01/10/09,10.6
01/11/09,11
01/12/09,11.3
01/01/10,10.9
01/02/10,10.3
01/03/10,11.8
01/04/10,11.5
01/05/10,12
01/06/10,11.6
01/07/10,11.9
01/08/10,12
01/09/10,11.9
01/10/10,12.4
01/11/10,12.3
01/12/10,12.6
01/01/11,12.8
01/02/11,13.1
01/03/11,13.3
01/04/11,13.3
01/05/11,12.3
01/06/11,11.9
01/07/11,12.7
01/08/11,12.6
01/09/11,13.4
01/10/11,13.7
01/11/11,13.7
01/12/11,13.8
01/01/12,14.4
01/02/12,15
01/03/12,14.6
01/04/12,14.8
01/05/12,14.5
01/06/12,14.5
01/07/12,14.4
01/08/12,14.4
01/09/12,15.1
01/10/12,14.8
01/11/12,15.5
01/12/12,15.5
01/01/13,15.8
01/02/13,16
01/03/13,15.8
01/04/13,15.8
01/05/13,15.7
01/06/13,16.1
01/07/13,16
01/08/13,16
01/09/13,15.5
01/10/13,15.7
01/11/13,16.5
01/12/13,15.8
01/01/14,15.7
01/02/14,16
01/03/14,17.2
01/04/14,16.7
01/05/14,17.1
01/06/14,17.4
01/07/14,17
01/08/14,17.7
01/09/14,16.7
01/10/14,16.7
01/11/14,17.2
01/12/14,17.1
01/01/15,17.1
01/02/15,16.8
01/03/15,17.9
01/04/15,17.4
01/05/15,18.1
01/06/15,17.8
01/07/15,18
01/08/15,18.2
01/09/15,18.4
01/10/15,18.4
01/11/15,18.4
01/12/15,17.6
01/01/16,18.1
01/02/16,18
01/03/16,17.2
01/04/16,17.9
01/05/16,17.6
01/06/16,17.4
01/07/16,18.1
01/08/16,17.5
01/09/16,18
01/10/16,18.2
01/11/16,17.9
01/12/16,18.4
01/01/17,17.7
01/02/17,17.7
01/03/17,17.1
01/04/17,17.4
01/05/17,17.1
01/06/17,17
01/07/17,17.1
01/08/17,16.4
01/09/17,18.9
01/10/17,18.4
01/11/17,17.9
01/12/17,18.2
