DATE,DIFSRC1Q027SBEA
01/01/92,287.353
01/04/92,291.349
01/07/92,296.022
01/10/92,305.64
01/01/93,318.025
01/04/93,328.974
01/07/93,338.347
01/10/93,344.999
01/01/94,346.711
01/04/94,346.432
01/07/94,345.001
01/10/94,349.356
01/01/95,355.378
01/04/95,363.867
01/07/95,370.204
01/10/95,376.065
01/01/96,384.393
01/04/96,389.545
01/07/96,393.829
01/10/96,401.629
01/01/97,412.731
01/04/97,422.498
01/07/97,436.85
01/10/97,444.908
01/01/98,452.611
01/04/98,463.154
01/07/98,473.569
01/10/98,479.776
01/01/99,490.561
01/04/99,500.541
01/07/99,512.05
01/10/99,533.345
01/01/00,567.342
01/04/00,561.594
01/07/00,565.945
01/10/00,570.258
01/01/01,562.857
01/04/01,556.568
01/07/01,539.002
01/10/01,552.857
01/01/02,549.886
01/04/02,558.161
01/07/02,567.808
01/10/02,574.487
01/01/03,572.53
01/04/03,584.482
01/07/03,594.304
01/10/03,602.576
01/01/04,618.007
01/04/04,625.871
01/07/04,640.228
01/10/04,657.283
01/01/05,668.717
01/04/05,685.357
01/07/05,698.306
01/10/05,706.15
01/01/06,716.513
01/04/06,720.7
01/07/06,722.063
01/10/06,737.56
01/01/07,754.272
01/04/07,762.414
01/07/07,775.366
01/10/07,781.915
01/01/08,782.87
01/04/08,781.482
01/07/08,772.883
01/10/08,748.697
01/01/09,719.556
01/04/09,714.946
01/07/09,715.878
01/10/09,725.442
01/01/10,740.544
01/04/10,764.684
01/07/10,768.137
01/10/10,779.587
01/01/11,786.672
01/04/11,793.083
01/07/11,804.634
01/10/11,798.804
01/01/12,803.274
01/04/12,785.465
01/07/12,779.187
01/10/12,789.286
01/01/13,808.064
01/04/13,823.829
01/07/13,834.417
01/10/13,856.66
01/01/14,863.52
01/04/14,879.274
01/07/14,899.489
01/10/14,911.457
01/01/15,927.569
01/04/15,947.067
01/07/15,953.652
01/10/15,960.52
01/01/16,961.835
01/04/16,974.644
01/07/16,995.407
01/10/16,1007.106
01/01/17,1025.919
01/04/17,1047.117
01/07/17,1060.19
01/10/17,1085.173
