,ASPNHSUS,UNRATE,USACPIHOUMINMEI,FEDFUNDS,CSUSHPINSA,MSPNHSUS,MSACSR,MORTGAGE30US,NHFSEPUC,NHSDPC,NHSDPNS,HNFSEPUSSA,HSN1F,DSPIC96,TOTALSA,DATE,DIFSRC1Q027SBEA,W774RC1Q027SBEA,Sales in $MM
0,144200.0,7.3,59.96375902,4.03,75.697,120000.0,5.2,8.432,131.0,16.0,17.0,281.0,676.0,6616.3,12.6,01/01/92,287.353,287.353,10845
1,144800.0,7.4,60.19557767,4.06,75.652,117200.0,4.9,8.7625,129.0,16.0,20.0,269.0,639.0,6649.9,12.9,01/02/92,287.353,287.353,10904
2,144800.0,7.4,60.46603277,3.98,75.812,120000.0,6.1,8.935,135.0,16.0,20.0,279.0,553.0,6659.6,12.8,01/03/92,287.353,287.353,10986
3,145000.0,7.4,60.38875989,3.73,76.079,120000.0,6.1,8.8525,134.0,14.0,17.0,274.0,546.0,6679.4,12.6,01/04/92,291.349,291.349,10738
4,146000.0,7.6,60.35012344,3.82,76.398,113000.0,6.0,8.672,135.0,16.0,18.0,273.0,554.0,6712.9,13.1,01/05/92,291.349,291.349,10777
5,146600.0,7.8,60.69785143,3.76,76.60300000000002,124500.0,5.6,8.51,136.0,18.0,17.0,273.0,596.0,6741.7,13.5,01/06/92,291.349,291.349,10790
6,137700.0,7.7,61.04557941,3.25,76.71300000000002,118000.0,5.3,8.128,135.0,18.0,16.0,271.0,627.0,6736.8,12.9,01/07/92,296.022,296.022,10785
7,145300.0,7.6,61.23876162,3.3,76.734,123500.0,5.2,7.975,136.0,18.0,18.0,269.0,636.0,6759.6,12.9,01/08/92,296.022,296.022,10915
8,142200.0,7.6,61.04557941,3.22,76.632,119500.0,5.0,7.9225,135.0,18.0,16.0,265.0,650.0,6725.8,13.4,01/09/92,296.022,296.022,10980
9,148400.0,7.3,61.27739807,3.1,76.602,125000.0,5.1,8.088,134.0,15.0,16.0,264.0,621.0,6682.5,13.7,01/10/92,305.64,305.64,10971
